MAC_ID,longtitude and latitude,Date,OS
11035,"43.079396,-87.878039",Tue Oct 30 2018 19:47:26,Apple
14718," 43.081521,-87.883499", Tue Oct 30 2018 16:15:26,Apple
891," 43.080877,-87.882865", Tue Oct 30 2018 16:15:26,Android
13983," 43.078375,-87.880202", Tue Oct 30 2018 20:29:26,Apple
14330," 43.077421,-87.880591", Tue Oct 30 2018 08:39:26,Apple
8453," 43.076131,-87.881950", Tue Oct 30 2018 09:08:26,Apple
3471," 43.079704,-87.881265", Tue Oct 30 2018 09:37:26,Android
4683," 43.078216,-87.884435", Tue Oct 30 2018 19:32:26,Android
4510," 43.075946,-87.879331", Tue Oct 30 2018 14:21:26,Android
13663," 43.080693,-87.880320", Tue Oct 30 2018 14:09:26,Apple
3270," 43.080847,-87.881278", Tue Oct 30 2018 19:23:26,Android
6843," 43.080104,-87.881914", Tue Oct 30 2018 19:48:26,Android
5682," 43.075716,-87.881110", Tue Oct 30 2018 13:09:26,Android
3639," 43.078590,-87.882593", Tue Oct 30 2018 11:02:26,Android
4214," 43.080734,-87.877850", Tue Oct 30 2018 16:38:26,Android
7164," 43.080872,-87.884020", Tue Oct 30 2018 14:04:26,Android
10023," 43.078783,-87.881408", Tue Oct 30 2018 10:29:26,Apple
5326," 43.076341,-87.880771", Tue Oct 30 2018 17:05:26,Android
6000," 43.079346,-87.883998", Tue Oct 30 2018 13:56:26,Android
1280," 43.079869,-87.879983", Tue Oct 30 2018 18:09:26,Android
5235," 43.077227,-87.883826", Tue Oct 30 2018 13:40:26,Android
14085," 43.078490,-87.882266", Tue Oct 30 2018 09:05:26,Apple
6520," 43.076146,-87.879586", Tue Oct 30 2018 13:33:26,Android
7607," 43.076048,-87.881132", Tue Oct 30 2018 17:13:26,Android
5482," 43.079188,-87.884632", Tue Oct 30 2018 15:50:26,Android
1876," 43.080038,-87.879601", Tue Oct 30 2018 09:43:26,Android
13672," 43.078170,-87.878071", Tue Oct 30 2018 08:56:26,Apple
14038," 43.079189,-87.882432", Tue Oct 30 2018 17:18:26,Apple
4341," 43.076464,-87.883636", Tue Oct 30 2018 07:07:26,Android
